,,,,,mg,
,,,,,HESPT HESPD DAIDZN GNSTEIN,EPICATEC
D033,"Capsicum, green",(Capsicum annuum),6,,1.45±0.30,
D034,"Capsicum, red (C",apsicum annuum),4,,4.08±0.00,
D035,"Capsicum, yellow",(Capsicum annuum),4,,0.37±0.00,
D036,Cauliflower (Bras,sica oleracea),6,,,
D037,Celery stalk (Apiu,m graveolens),3,,,
D038,Cho-cho-marrow,(Sechium edule),4,,,
D039,Cluster beans (C,yamopsis tetragonobola),6,2.36±0.44,,
D040,"Colocasia, stem, antiquorum)",black (Colocasia,1,,,
D041,"Colocasia, stem, antiquorum)",green (Colocasia,5,,,
D042,"Corn, Baby(Zea m",ays),6,,,
D043,"Cucumber, green sativus)",", elongate(Cucumis",6,,,
D044,"Cucumber, green",", short (Cucumis sativus)",6,,,
D045,"Cucumber, orang sativus)","e, round (Cucumis",2,,,
D046,Drumstick (Morin,ga oleifera),6,0.35±0.06,2.92±0.40,
D047,"Field beans, tend","er, broad (Vicia faba)",2,,,
D048,"Field beans, tend","er, lean (Vicia faba)",6,,,0.67±0.07
D049,"French beans, co vulgaris)",untry (Phaseolus,5,,,
D050,"French beans, hy vulgaris)",brid (Phaseolus,2,,,
D051,"Jack fruit, raw (Ar",tocarpus heterophyllus),5,,,
D052,"Jack fruit, seed, heterophyllus)",mature (Artocarpus,5,,,
