,,,,,mg,
,,,,,HESPT HESPD DAIDZN GNSTEIN,EPICATEC
C028,Parsley (Petr,oselinum,crispum),3,,
C029,Ponnaganni (,Alternan,thera sessilis),2,,
C030,Pumpkin leav maxima),"es, ten",der (Cucurbita,6,,
C031,Radish leave,s (Raph,anus sativus),6,,
C032,Rumex leave,s (Rume,x patientia ),2,,
C033,Spinach (Spin,acia ole,racea),6,1.36±0.32,
C034,Tamarind lea indica),"ves, ten",der (Tamarindus,3,,
,,,,,,
D,OTHER V,EGET,ABLES,,,
D001,Ash gourd (B,enincas,a hispida),6,,
D002,Bamboo sho,"ot, tend",er (Bambusa vulgaris),1,,
D003,"Bean scarlet, coccineus)",tender,(Phaseolus,5,,
D004,"Bitter gourd, elongate (Mo","jagged, mordica","teeth ridges, charantia)",6,,
D005,"Bitter gourd, (Momordica c","jagged, harantia)","teeth ridges, short",4,,
D006,"Bitter gourd, elongate (Mo","jagged, mordica","smooth ridges, charantia)",1,,
D007,"Bottle gourd, (Lagenaria vul",elonga garis),"te, pale green",6,,
D008,"Bottle gourd, (Lagenaria vul","round, garis)",pale green,5,,
D009,"Bottle gourd, (Lagenaria vul",elonga garis),"te, dark green",1,,
D010,Brinjal-1 (Sol,anum m,elongena),1,,
