,,,,,mg,
,,,,,HESPT HESPD DAIDZN GNSTEIN,EPICATEC
F007,"Potato, brown skin, small tuberosum)",(Solanum,1,,2.84,
F008,"Potato, red skin (Solanum",tuberosum),1,,2.84,
F009,"Radish, elongate, red skin sativus)",(Raphanus,3,,,
F010,"Radish, elongate, white sk sativus)",in (Raphanus,6,,,
F011,"Radish, round, red skin (R sativus)",aphanus,1,,,
F012,"Radish, round, white skin sativus)",(Raphanus,2,,,
F013,"Sweet potato, brown skin batatas)",(Ipomoes,4,,0.03±0.01,
F014,"Sweet potato, pink skin (Ip",omoes batatas),3,,0.06±0.02,
F015,Tapioca (Manihot esculenta,),3,,,
F016,Water Chestnut (Eleochari,s dulcis),1,,,
F017,"Yam, elephant (Amorphoph campanulatus)",allus,6,,,
F018,"Yam, ordinary (Amorphoph campanulatus)",allus,4,,,
F019,"Yam, wild (Dioscorea versic",olor),2,,,
G,CONDIMENTS AND,SPICES-FRES,H,,,
G001,"Chillies, green-1 (Capsicu",m annum),5,,,
G002,"Chillies, green-2 (Capsicu",m annum),3,,,
G003,"Chillies, green-3 (Capsicu",m annum),5,,,
G004,"Chillies, green-4 (Capsicu",m annum),3,,,
