"Papaya, ripe (Common)",E049,,"Peas, fresh (Comm",on),D061,
,,,,,,
"Papayi (G.,Kon.)","D059,",E049,Pedda chikkudu (T,el.),D032,
,,,,,,
Papayu (G.),E049,,Peechinga (Mal.),,"D068,",D069
,,,,,,
Papita (H.),E049,,Peerkankai (Tam.),,"D068,",D069
,,,,,,
"Papita (Kash.,P.,U.)","D059,",E049,Pempe (Kacha) (B,.),D059,
,,,,,,
Papnus (Mar.),E056,,Penaeus monodon,(Sci.),Q008,
,,,,,,
Papnuse (G.),E056,,Pennisetum typhoi,deum (Sci.),A003,
,,,,,,
Pappali (Tam.),E049,,Pepe(paka) (B.),,E049,
,,,,,,
Pappalikkaai (Tam.),D059,,"Pepper, black (Co",mmon),G031,
,,,,,,
Pappayi hannu (Kan.),E049,,Perakka (Mal.),,E029,
,,,,,,
Pappukura (Tel.),C008,,Perakka(nattu) (M,al.),E028,
,,,,,,
Papta (Mar.),"B007,","B008,",Pericham pazham,(Tam.),"E017,","E018,"
,"B009,","D047,",,,E019,
,D048,,Perinkilichai (Co,mmon),P052,
,,,,,,
Parangi (Kan.),D059,,Perna viridis (Sci,.),R001,
,,,,,,
,,,,,,
Parangi ilai (Tam.),C030,,Persea americana,(Sci.),E007,
,,,,,,
,,,,,,
Parangikkai (Tam.),"D065,",D066,Peru (Mar.),,"E028,",E029
,,,,,,
,,,,,,
Parastromateus niger (Sci.),P002,,Perugayam (Tam.),,G019,
,,,,,,
,,,,,,
Parastromateus niger (Sci.),P055,,Peruka (S.),,"E028,",E029
,,,,,,
,,,,,,
Parava (Common),P049,,Perungayam (Mal.,),G019,
,,,,,,
,,,,,,
Parcus (Common),P050,,Pesalu (Tel.),,B011,
,,,,,,
,,,,,,
Parippuchira (Mal.),C008,,PesaraPappu (Tel.,),B010,
,,,,,,
,,,,,,
Parrot fish (Common),P051,,Pesi (O.),,H014,
,,,,,,
,,,,,,
"Parsley (Common,P.)",C028,,Pesta (B.),,H018,
,,,,,,
,,,,,,
Paruppukkeerai (Tam.),C008,,Peta (U.),,D001,
,,,,,,
,,,,,,
"Parwal (H.,P.,U.)",D060,,"Petha (H.,P.)",,D001,
,,,,,,
,,,,,,
"Parwar (Common,Mar.)",D060,,Petha de pate (P.),,C030,
,,,,,,
,,,,,,
Pasalai keerai (Tam.),C033,,Petroselinum crisp,um (Sci.),C028,
,,,,,,
,,,,,,
Pashor kait (Kh.),D062,,Peyaj (B.),,G017,
,,,,,,
,,,,,,
Pasipayir (Tam.),B011,,Peyara (B.),,"E028,",E029
,,,,,,
,,,,,,
Paspron (Kh.),G029,,Phakchet (M.),,C029,
,,,,,,
,,,,,,
Pasumpaal (Tam.),L002,,Phalsa (Common),,E052,
,,,,,,
,,,,,,
Pasupu (Tel.),G033,,Phalsa hannu (Kan,.),E052,
,,,,,,
,,,,,,
Pathaw (Kh.),D065,,Phan dieng (Kh.),,F015,
,,,,,,
,,,,,,
Pathaw iiwbih (Kh.),D001,,Phan Kubi (Kh.),,"C024,",D053
,,,,,,
,,,,,,
Pathaw saw (Kh.),D066,,Phan rit (Kh.),,F007,
,,,,,,
,,,,,,
Pati (Mar.),D058,,Phan saw (Kh.),,F008,
,,,,,,
,,,,,,
PatiLebu (B.),E033,,"Phanas (G.,Mar.)",,"D051,","D052,"
,,,,,,
Patol rit (Kh.),D060,,,,E030,
,,,,,,
Patolah (S.),"D043,","D044,",Phankaro iong (Kh,.),F013,
,,,,,,
,D045,,Phankaro saw (Kh,.),F014,
,,,,,,
Patta gobhi (P.),"C015,",C016,Phansi (Gulabi) (G,.),B019,
,,,,,,
,,,,,,
"Pattani (Mal.,Tam.)","B017,",D061,Phansi (Kadi) (G.),,B018,
,,,,,,
,,,,,,
Paunva (G.),A011,,Phansi (lal) (G.),,B020,
,,,,,,
,,,,,,
Payatham paruppu (Tam.),B010,,Pharasebee (Mar.),,"D049,",D050
,,,,,,
,,,,,,
Peach (Common),E050,,Pharaskol (A.),,E052,
,,,,,,
,,,,,,
Pear (Common),E051,,Phaseolus coccine,us (Sci.),D003,
,,,,,,
,,,,,,
"Peas, dry (Common)",B017,,Phaseolus mungo(,Sci.),"B003,",B004
,,,,,,
